"spider_id","site","site_type","sex","weight","days_noweb_lab","trial_num","poke_score","percent_time_moving","tot_prey_attack","mean_Tactive_lab","ln_weight","ln_poke_score","ln_tot_prey_attack","ln_Tactive_lab","Tactive_lab","z_ln_weight","z_poke_score","z_ln_tot_prey_attack","z_ln_Tactive_lab","in_situ","z_days_noweb","landPC1","landsub_pc1","mh_pc1"
"A01","South Alster","Urban","F",0.06,2,1,NA,NA,NA,NA,-2.81341071676004,NA,NA,NA,NA,0.158269888715285,NA,NA,NA,0,0.168297309137937,0.0211937520245644,1.43458767468614,0.753457066389678
"A02","South Alster","Urban","F",0.11,1,1,3,NA,NA,NA,-2.20727491318972,1.25276296849537,NA,NA,NA,0.665019019330388,-0.20891954815688,NA,NA,0,-0.394983480629853,0.0211937520245644,1.43458767468614,0.753457066389678
"A03","South Alster","Urban","F",0.08,1,1,NA,NA,NA,NA,-2.52572864430826,NA,NA,NA,NA,0.398781403213833,NA,NA,NA,0,-0.394983480629853,0.0211937520245644,1.43458767468614,0.753457066389678
"A04","South Alster","Urban","F",0.08,4,1,NA,34.55,NA,207.3,-2.52572864430826,NA,NA,5.33657607866513,207.3,0.398781403213833,NA,NA,0.86546854048447,0,1.29485888867352,0.0211937520245644,1.43458767468614,0.753457066389678
"B01","Alsterufer","Urban","F",0.03,3,1,0.5,NA,NA,NA,-3.50655789731998,0,NA,NA,NA,-0.421223566494072,-1.64795046077274,NA,NA,0,0.731578098905727,0.0104000288115565,1.62429468671525,-0.667731975120759
"B02","Alsterufer","Urban","F",0.05,2,1,1,38.65,NA,231.9,-2.99573227355399,0.405465108108164,NA,5.44846002497776,231.9,0.00584317203971949,-1.36014427824956,NA,0.913389730951316,0,0.168297309137937,0.0104000288115565,1.62429468671525,-0.667731975120759
"B03","Alsterufer","Urban","F",0.09,2,1,2.5,32.75,NA,196.5,-2.40794560865187,1.09861228866811,NA,5.28320372873799,196.5,0.497251829426093,-0.496725730680051,NA,0.842608544651155,0,0.168297309137937,0.0104000288115565,1.62429468671525,-0.667731975120759
"B04","Alsterufer","Urban","F",0.02,0,1,1,39.1,NA,234.6,-3.91202300542815,0.405465108108164,NA,5.46001095554602,234.6,-0.760205507204881,-1.36014427824956,NA,0.918337128340076,0,-0.958264270397643,0.0104000288115565,1.62429468671525,-0.667731975120759
"B05","Alsterufer","Urban","I",0.02,4,1,1.5,5.09,NA,30.54,-3.91202300542815,0.693147180559945,NA,3.43527669531502,30.54,-0.760205507204881,-1.07233809572639,NA,0.051119986587134,0,1.29485888867352,0.0104000288115565,1.62429468671525,-0.667731975120759
"B06","Alsterufer","Urban","F",0.06,1,1,NA,18.18,NA,109.08,-2.81341071676004,NA,NA,4.69665487611027,109.08,0.158269888715285,NA,NA,0.59138287545334,0,-0.394983480629853,0.0104000288115565,1.62429468671525,-0.667731975120759
"B07","Alsterufer","Urban","F",0.04,4,1,NA,7.14,NA,42.84,-3.2188758248682,NA,NA,3.76907599610821,42.84,-0.180712051995524,NA,NA,0.194090094437227,0,1.29485888867352,0.0104000288115565,1.62429468671525,-0.667731975120759
